group,Western Pacific,Africa,Eastern Mediterranean,South East Asia,Europe,Americas,Other
04-Jan-20,1,0,0,0,0,0,0
05-Jan-20,3,0,0,0,0,0,0
12-Jan-20,46,0,0,9,0,0,0
19-Jan-20,1264,0,0,9,3,37,0
26-Jan-20,10572,0,9,30,19,20,0
02-Feb-20,22841,0,2,19,15,20,68
09-Feb-20,32038,0,6,8,12,10,221
16-Feb-20,10228,0,42,8,16,16,349
23-Feb-20,5726,10,509,8,1095,57,61
01-Mar-20,5574,41,5636,53,6911,379,1
08-Mar-20,2289,131,7763,154,33168,2481,1
15-Mar-20,3461,589,9621,1002,107283,19106,15
22-Mar-20,7136,2070,18570,2230,214479,82646,0
29-Mar-20,9198,3154,26450,3850,264037,177445,0
05-Apr-20,8172,3345,23618,7204,253109,256278,0
12-Apr-20,10708,3764,28457,11379,228113,245023,0
19-Apr-20,12213,6392,34288,15871,216088,271428,0
26-Apr-20,8933,8477,40020,19586,182228,284401,0
03-May-20,8120,12571,51031,30633,179894,301225,0
10-May-20,8198,15917,69646,37513,158639,302685,0
17-May-20,5946,17795,87333,55671,140507,365270,29
24-May-20,7779,22646,87003,66964,128370,396387,0
31-May-20,8584,29659,115076,88397,123618,455898,0
07-Jun-20,7682,34693,132592,102946,126902,485944,0
14-Jun-20,6776,47281,140783,121610,131213,533813,0
21-Jun-20,8278,59567,127835,150825,134213,652228,0
28-Jun-20,10026,74313,128435,177792,141309,766304,0
05-Jul-20,17240,100997,121171,207873,136920,830285,0
12-Jul-20,17702,118054,104905,250888,149161,916749,0
19-Jul-20,23810,118496,95580,331080,156076,985548,0
26-Jul-20,32144,108486,89625,392848,196045,1017224,0
02-Aug-20,46627,84053,77639,424973,231000,966936,0
09-Aug-20,43991,63561,87004,475279,246192,979989,0
16-Aug-20,41358,55704,93200,487870,269571,894062,0
23-Aug-20,37869,46652,88313,529824,296707,844402,0
30-Aug-20,30483,40244,91239,604868,330066,855368,0
06-Sep-20,27546,33018,104480,683234,389496,712429,0
13-Sep-20,32558,29364,113353,697736,452197,767302,0
20-Sep-20,24924,28380,122439,651082,505509,773641,0
27-Sep-20,23847,26221,126842,627173,569590,759513,0
04-Oct-20,26462,27311,138886,576029,773117,804511,0
11-Oct-20,27438,31672,142755,526713,1031612,788749,0
18-Oct-20,27411,32145,155932,457599,1472556,879173,0
25-Oct-20,27169,32506,180734,384805,1859038,1003465,0
01-Nov-20,30096,34603,207878,391582,1986984,1131692,0
08-Nov-20,32942,39910,235758,379825,1910202,1355385,0
15-Nov-20,34924,45422,251295,345881,1792753,1609632,0
22-Nov-20,39958,48436,249730,376511,1693972,1697226,0
29-Nov-20,40355,51127,243836,337707,1666028,1819866,0
06-Dec-20,43967,71983,209355,296066,1703594,2046296,3
13-Dec-20,47257,90331,176019,253253,1813233,2189492,0
20-Dec-20,51235,114156,161770,239234,1685553,2119645,1
27-Dec-20,54430,104656,155447,209168,1675167,1923596,0
03-Jan-21,66203,187112,167053,205957,1816650,2285911,0
10-Jan-21,81429,180899,185187,208026,1733746,2501085,0
17-Jan-21,83455,150031,173055,194634,1539190,2215713,0
24-Jan-21,71270,117475,163399,201388,1373821,1915154,0
31-Jan-21,65501,89467,158439,178659,1191230,1621231,0
07-Feb-21,50722,68968,169062,154350,1003587,1337961,0
14-Feb-21,45856,66981,179472,155383,957270,1099612,0
21-Feb-21,43612,52161,204785,168951,1051574,1117417,0
28-Feb-21,41925,53008,226182,165432,1110721,1096091,0
07-Mar-21,47687,51991,243475,193281,1249777,1142366,0
14-Mar-21,60205,53065,261735,279993,1435664,1160019,0
21-Mar-21,82745,63747,269155,418204,1628498,1288222,0
28-Mar-21,101459,59845,293956,561813,1703860,1380218,0
04-Apr-21,110502,49529,355188,905072,1595172,1350620,0
11-Apr-21,126936,50680,386801,1409287,1641053,1536538,0
18-Apr-21,132123,53701,381024,2180252,1506867,1440153,1
25-Apr-21,132307,44074,331336,2667283,1196444,1350379,12
02-May-21,127441,41338,286504,2866145,931220,1239565,0
09-May-21,133832,42550,233596,2622145,728959,1196807,0
16-May-21,130052,41800,207607,2075333,601835,1236010,6
23-May-21,137195,51718,214068,1590715,460838,1219362,0
30-May-21,140659,63931,204407,1102644,395513,1208763,0
06-Jun-21,125038,88043,190601,793850,344600,1121598,0
13-Jun-21,124598,127406,198629,617761,337847,1149400,0
20-Jun-21,116630,168813,215197,571833,376211,1151948,0
27-Jun-21,68554,97064,126001,332742,253944,553718,0
