date,AFRO,AMRO,EMRO,EURO,Other,SEARO,WPRO,new_cases
Jan-2020,0,55,8,18,0,38,9777,9896
Feb-2020,10,105,560,1142,699,21,72942,75479
Mar-2020,3802,168023,53166,466200,13,4586,22150,717940
Apr-2020,20901,1082433,128683,983827,0,50427,42874,2309145
May-2020,75897,1517430,322663,681070,29,208946,33922,2839957
Jun-2020,196680,2384866,553258,561283,0,526233,33900,4256220
Jul-2020,473131,4028628,475493,680766,0,1224824,90404,6973246
Aug-2020,280503,4113639,382259,1170555,0,2148821,186978,8282755
Sep-2020,132003,3254066,478467,1885252,0,2820141,118291,8688220
Oct-2020,136352,3829202,674265,5405981,0,2219573,119133,12384506
Nov-2020,180789,6292840,1012062,7836111,0,1596256,150482,17068540
Dec-2020,395399,8888642,831407,7565188,4,1173393,206821,19060854
Jan-2021,675007,9905512,757649,7185447,0,897190,332343,19753148
Feb-2021,269734,5079607,718357,4166367,0,653137,200565,11087767
Mar-2021,243228,5220656,1131046,6183017,0,1315624,280651,14374222
Apr-2021,218066,6124317,1545178,6573125,13,7023754,528272,22012725
May-2021,203870,5469262,1039582,2985496,6,9930910,590868,20219994
Jun-2021,529928,4827855,881721,1598826,0,3060096,533098,11431524
